Crop,Soil_Type,Season,Water_Level,Budget_Per_Acre,Duration_Days,Expected_Yield_Kg,Temperature,Rainfall,Market_Price_Per_Kg
Rice,Clay,Kharif,High,30000,120,2500,25-35,150,28
Rice,Loamy,Kharif,High,30000,120,2400,25-35,150,28
Rice,Clay,Rabi,High,32000,125,2600,20-30,120,30
Rice,Loamy,Kharif,Medium,29000,115,2300,25-35,140,28
Rice,Alluvial,Kharif,High,31000,120,2550,25-35,160,29
Rice,Clay,Kharif,Medium,29500,118,2350,25-35,145,28
Maize,Loamy,Kharif,Medium,24000,100,2200,22-30,80,22
Maize,Red,Kharif,Medium,24000,100,2000,22-30,80,22
Maize,Loamy,Rabi,Medium,25000,105,2250,18-28,60,23
Maize,Red,Kharif,Low,23000,95,1900,22-30,75,22
Maize,Alluvial,Kharif,Medium,24500,100,2300,22-30,85,23
Maize,Loamy,Rabi,Low,23500,100,2050,18-28,55,22
Groundnut,Loamy,Kharif,Medium,22000,110,1800,24-30,80,55
Groundnut,Red,Kharif,Medium,22000,110,1750,24-30,80,55
Groundnut,Sandy,Kharif,Low,21000,105,1650,25-32,70,54
Groundnut,Red,Rabi,Low,21500,115,1700,22-30,60,56
Groundnut,Loamy,Kharif,Low,20500,105,1600,24-30,75,55
Groundnut,Sandy,Rabi,Low,20000,110,1550,22-30,55,54
Green Gram,Loamy,Kharif,Low,18000,70,900,25-32,60,70
Green Gram,Red,Kharif,Low,17500,65,850,25-32,55,70
Green Gram,Sandy,Rabi,Low,17000,70,800,20-30,50,72
Green Gram,Loamy,Rabi,Medium,18000,75,950,20-30,55,70
Green Gram,Red,Kharif,Medium,18500,70,920,25-32,65,71
Green Gram,Sandy,Rabi,Low,16500,65,780,20-30,45,72
Black Gram,Loamy,Kharif,Medium,19000,75,950,25-32,65,75
Black Gram,Red,Kharif,Low,18000,70,850,25-32,60,74
Black Gram,Loamy,Rabi,Low,18500,75,900,20-30,50,76
Black Gram,Red,Rabi,Medium,19500,80,980,20-30,55,75
Black Gram,Sandy,Kharif,Low,17500,70,820,25-32,55,74
Black Gram,Loamy,Kharif,Medium,19000,72,930,25-32,65,75
